,ndc9,filename,is_ref,is_front,ndc,splshape,splshape_text,splimprint,splcolor_text,rxstring,filepath
0,711015,00071-1015-68_PART_1_OF_1_CHAL10_SB_5215A92D.jpg,TRUE,FALSE,71101568,C48336,CAPSULE,Pfizer;PGN;100,ORANGE,pregabalin 100 MG Oral Capsule [Lyrica],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000711015/00071-1015-68_PART_1_OF_1_CHAL10_SB_5215A92D.jpg
1,711015,00071-1015-68_PART_1_OF_1_CHAL10_SF_5215A92D.jpg,TRUE,TRUE,71101568,C48336,CAPSULE,Pfizer;PGN;100,ORANGE,pregabalin 100 MG Oral Capsule [Lyrica],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000711015/00071-1015-68_PART_1_OF_1_CHAL10_SF_5215A92D.jpg
2,7815184,00781-5184-01_PART_1_OF_1_CHAL10_SF_6E21B76D.jpg,TRUE,TRUE,781518401,C48336,CAPSULE,100;GG;335,YELLOW,levothyroxine sodium 0.1 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/007815184/00781-5184-01_PART_1_OF_1_CHAL10_SF_6E21B76D.jpg
3,7815184,00781-5184-01_PART_1_OF_1_CHAL10_SB_6E21B76D.jpg,TRUE,FALSE,781518401,C48336,CAPSULE,100;GG;335,YELLOW,levothyroxine sodium 0.1 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/007815184/00781-5184-01_PART_1_OF_1_CHAL10_SB_6E21B76D.jpg
4,1431425,00143-1425-01_PART_1_OF_1_CHAL10_SF_B12658A2.jpg,TRUE,TRUE,143142501,C48348,ROUND,WW;25,WHITE,Prednisone 2.5 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/001431425/00143-1425-01_PART_1_OF_1_CHAL10_SF_B12658A2.jpg
5,1431425,00143-1425-01_PART_1_OF_1_CHAL10_SB_B12658A2.jpg,TRUE,FALSE,143142501,C48348,ROUND,WW;25,WHITE,Prednisone 2.5 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/001431425/00143-1425-01_PART_1_OF_1_CHAL10_SB_B12658A2.jpg
6,3783495,00378-3495-01_PART_1_OF_1_CHAL10_SF_15238AEC.jpg,TRUE,TRUE,378349501,C48348,ROUND,M;495,PINK,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003783495/00378-3495-01_PART_1_OF_1_CHAL10_SF_15238AEC.jpg
7,3783495,00378-3495-01_PART_1_OF_1_CHAL10_SB_15238AEC.jpg,TRUE,FALSE,378349501,C48348,ROUND,M;495,PINK,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003783495/00378-3495-01_PART_1_OF_1_CHAL10_SB_15238AEC.jpg
8,5550588,00555-0588-01_PART_1_OF_1_CHAL10_SB_77303BA1.jpg,TRUE,FALSE,555058801,C48336,CAPSULE,barr;200mg;588,GREEN;WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/005550588/00555-0588-01_PART_1_OF_1_CHAL10_SB_77303BA1.jpg
9,5550588,00555-0588-01_PART_1_OF_1_CHAL10_SF_77303BA1.jpg,TRUE,TRUE,555058801,C48336,CAPSULE,barr;200mg;588,GREEN;WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/005550588/00555-0588-01_PART_1_OF_1_CHAL10_SF_77303BA1.jpg
10,937206,00093-7206-56_PART_1_OF_1_CHAL10_SB_9F2FCFDE.jpg,TRUE,FALSE,93720656,C48348,ROUND,9;3;7206,YELLOW,mirtazapine 15 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937206/00093-7206-56_PART_1_OF_1_CHAL10_SB_9F2FCFDE.jpg
11,937206,00093-7206-56_PART_1_OF_1_CHAL10_SF_9F2FCFDE.jpg,TRUE,TRUE,93720656,C48348,ROUND,9;3;7206,YELLOW,mirtazapine 15 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937206/00093-7206-56_PART_1_OF_1_CHAL10_SF_9F2FCFDE.jpg
12,934232,00093-4232-01_PART_1_OF_1_CHAL10_SB_2D2D16F8.jpg,TRUE,FALSE,93423201,C48348,ROUND,0;5;Z;4232,GREEN,bumetanide 0.5 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000934232/00093-4232-01_PART_1_OF_1_CHAL10_SB_2D2D16F8.jpg
13,934232,00093-4232-01_PART_1_OF_1_CHAL10_SF_2D2D16F8.jpg,TRUE,TRUE,93423201,C48348,ROUND,0;5;Z;4232,GREEN,bumetanide 0.5 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000934232/00093-4232-01_PART_1_OF_1_CHAL10_SF_2D2D16F8.jpg
14,932268,00093-2268-01_PART_1_OF_1_CHAL10_SF_D5296ADB.jpg,TRUE,TRUE,93226801,C48345,OVAL,9;3;2268,WHITE,amoxicillin 250 MG Chewable Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000932268/00093-2268-01_PART_1_OF_1_CHAL10_SF_D5296ADB.jpg
15,932268,00093-2268-01_PART_1_OF_1_CHAL10_SB_D5296ADB.jpg,TRUE,FALSE,93226801,C48345,OVAL,9;3;2268,WHITE,amoxicillin 250 MG Chewable Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000932268/00093-2268-01_PART_1_OF_1_CHAL10_SB_D5296ADB.jpg
